,date,sugar_eu,sugar_us,sugar_world
476,1999-09-01,0.5935,0.4436,0.147
477,1999-10-01,0.6061,0.4284,0.1488
478,1999-11-01,0.5935,0.3836,0.1435
479,1999-12-01,0.59,0.3896,0.1318
480,2000-01-01,0.6001,0.39,0.1241
481,2000-02-01,0.5851,0.3765,0.1173
482,2000-03-01,0.5778,0.4054,0.1127
483,2000-04-01,0.5794,0.4279,0.1325
484,2000-05-01,0.5547,0.4215,0.1526
485,2000-06-01,0.5514,0.4203,0.1845
486,2000-07-01,0.5515,0.4151,0.2125
487,2000-08-01,0.5507,0.4163,0.2302
488,2000-09-01,0.5245,0.4314,0.2211
489,2000-10-01,0.5307,0.476,0.237
490,2000-11-01,0.5213,0.4799,0.2189
491,2000-12-01,0.5346975117,0.4708,0.2209
492,2001-01-01,0.53021111,0.4731,0.2275
493,2001-02-01,0.531533882,0.4749,0.2176
494,2001-03-01,0.5283922985,0.4751,0.2044
495,2001-04-01,0.56029976376,0.4741,0.1939
496,2001-05-01,0.5212383066,0.4707,0.2113
497,2001-06-01,0.51205826892,0.4639,0.1993
498,2001-07-01,0.5169392976,0.4632,0.1938
499,2001-08-01,0.525360946,0.4694,0.1788
500,2001-09-01,0.53478128726,0.4709,0.1662
501,2001-10-01,0.530652034,0.4664,0.1497
502,2001-11-01,0.52611272142,0.4702,0.1695
503,2001-12-01,0.52622956628,0.4724,0.1727
504,2002-01-01,0.524038174,0.4674,0.1713
505,2002-02-01,0.520069858,0.4604,0.1437
506,2002-03-01,0.520069858,0.4456,0.1477
507,2002-04-01,0.52690418,0.4344,0.1519
508,2002-05-01,0.5336723634,0.4371,0.134
509,2002-06-01,0.54264296218,0.4407,0.1268
510,2002-07-01,0.56803797996,0.457,0.1409
511,2002-08-01,0.561737176,0.461,0.1387
512,2002-09-01,0.5685935442,0.4744,0.1534
513,2002-10-01,0.5693651612,0.4813,0.1656
514,2002-11-01,0.5751192194,0.4916,0.1726
515,2002-12-01,0.57981506,0.4856,0.1753
516,2003-01-01,0.589956312,0.4859927,0.1805584
517,2003-02-01,0.58979537474,0.4890215,0.1986363
518,2003-03-01,0.57875243316,0.490528,0.1814402
519,2003-04-01,0.5757585592,0.4818798,0.1708581
520,2003-05-01,0.59338153418,0.4816465,0.1580713
521,2003-06-01,0.607152348,0.4767333,0.1483709
522,2003-07-01,0.59414509,0.4706864,0.150796
523,2003-08-01,0.5828353894,0.4685762,0.1505755
524,2003-09-01,0.588413078,0.4666341,0.1318363
525,2003-10-01,0.612663898,0.463507,0.1320567
526,2003-11-01,0.613325284,0.4595898,0.1340409
527,2003-12-01,0.639560262,0.4497425,0.138383
528,2004-01-01,0.665574778,0.45123930095,0.128088422
